file_name,id
epic-patient-eroCd17NbCffM3E3WXi7eOQ3,eroCd17NbCffM3E3WXi7eOQ3
epic-practitioner-e7D.u41Zv3VPrLmUp-mWnrQ3,e7D.u41Zv3VPrLmUp-mWnrQ3
epic-organization-enRyWnSP963FYDpoks4NHOA3,enRyWnSP963FYDpoks4NHOA3
epic-encounter-ehoN2kZnYuW5z0Di4Kkno5w3,ehoN2kZnYuW5z0Di4Kkno5w3
epic-encounter-eiSX3g2gt4tJIs7-6h7nJjA3,eiSX3g2gt4tJIs7-6h7nJjA3
epic-encounter-e1Jw-ETrL1kZAPiXl3uSMWw3,e1Jw-ETrL1kZAPiXl3uSMWw3
epic-encounter-eZAjx5sRd6AgpTlKjDh4b5w3,eZAjx5sRd6AgpTlKjDh4b5w3
epic-encounter-ejPvGuBUqYJkCweOPRabvYg3,ejPvGuBUqYJkCweOPRabvYg3
epic-location-e4W4rmGe9QzuGm2Dy4NBqVc0KDe6yGld6HW95UuN-Qd03,e4W4rmGe9QzuGm2Dy4NBqVc0KDe6yGld6HW95UuN-Qd03
cerner-patient-4342009,4342009
cerner-practitioner-1302007,1302007
cerner-practitioner-4464007,4464007
cerner-practitioner-4664007,4664007
cerner-practitioner-1600014,1600014
cerner-practitioner-1,1
cerner-practitioner-1302007,1302007
cerner-practitioner-4464007,4464007
cerner-practitioner-1,1
cerner-practitioner-1302007,1302007
cerner-practitioner-1590015,1590015
cerner-practitioner-1302007,1302007
cerner-practitioner-4272008,4272008
cerner-practitioner-1502022,1502022
cerner-practitioner-1502022,1502022
cerner-practitioner-937935,937935
cerner-practitioner-937935,937935
cerner-practitioner-937935,937935
cerner-practitioner-4954007,4954007
cerner-practitioner-4464007,4464007
cerner-practitioner-4646009,4646009
cerner-practitioner-4594011,4594011
cerner-allergyintolerance-6859739,6859739
cerner-allergyintolerance-6283733,6283733
cerner-allergyintolerance-6267833,6267833
cerner-allergyintolerance-6851733,6851733
cerner-allergyintolerance-6267785,6267785
cerner-allergyintolerance-6267831,6267831
cerner-allergyintolerance-6279917,6279917
cerner-allergyintolerance-7639733,7639733
cerner-allergyintolerance-7583733,7583733
cerner-allergyintolerance-6267775,6267775
cerner-allergyintolerance-6171733,6171733
cerner-allergyintolerance-7991735,7991735
cerner-allergyintolerance-7167733,7167733
cerner-allergyintolerance-6499769,6499769
cerner-encounter-4027912,4027912
cerner-encounter-4027915,4027915
cerner-encounter-4277906,4277906
cerner-encounter-4323909,4323909
cerner-encounter-4521906,4521906
cerner-encounter-4525906,4525906
cerner-encounter-4617906,4617906
